total_rooms,population,median_income,median_house_value
1962,730,2.25,67500
3166,1097,2.6288,96000
4754,1366,2.0694,81200
3303,986,1.5957,101400
1491,98,1.4205,90000
1504,584,3.4792,94600
2354,775,1.8369,59400
2966,1007,1.5667,72500
5907,2310,2.3125,96900
2304,782,1.4141,75800
2248,927,1.3023,68500
4002,1614,1.6236,67300
5396,1802,1.8819,69700
2267,756,2.5474,78400
2916,1870,3.625,55000
2579,1155,2.0441,42100
2737,1128,2.8,72000
2701,1245,3.3269,81900
1131,520,4.0167,87500
2683,1154,5.8625,109400
3253,1408,5.2043,95700
2115,927,6.1935,115700
3661,1613,3.0687,63500
4334,1777,6.0653,105300
3151,1335,5.5773,109000
2657,1426,3.5931,71900
4241,1929,3.5988,84500
1678,765,6.0532,102800
2678,1473,3.858,70200
2994,1481,2.1458,52400
2656,1349,4.25,83200
5897,2728,4.15,85700
5735,2623,4.8494,87200
1740,850,2.5812,91700
2014,1027,3.9261,101300
3811,1518,5.5551,142500
1124,598,1.8984,54300
2566,1181,4.1518,91800
1751,765,5.0762,98000
2357,1110,3.1755,81700
1913,858,1.9962,50800
1739,945,3.4015,86500
2555,1347,3.3693,71800
18,8,1.625,275000
2,6,2.375,137500
1926,917,3.3889,68500
4849,2504,3.5391,81900
2630,1150,4.25,104400
83,32,4.875,141700
923,352,4.5724,84500
2180,960,2.875,87800
873,422,2.9583,91700
7353,3571,2.8097,130000
2969,1644,3.4338,54900
1589,853,4.2292,64400
1184,672,1.9107,39800
4597,2227,2.6149,83500
1507,761,3.0184,87900
2103,923,5.0553,111100
2370,1488,2.7361,83300
1069,569,2.0441,73300
1297,776,2.5875,68900
2992,1631,3.7452,83200
1671,821,2.16,56800
4371,1932,4.625,136800
9664,3617,4.0581,162900
2939,1167,2.3917,79000
8417,4631,3.6949,115800
3660,1243,3.4911,137200
4031,1539,3.8917,120800
3109,1457,2.6417,94900
4084,2033,3.2405,85500
1968,930,3.2632,99800
1170,602,1.7917,80000
1899,1133,1.8636,67900
1793,1233,2.7845,82200
1341,667,4,94500
1190,717,2.6302,81300
1297,909,1.9236,106300
1639,1222,1.7656,68000
2358,2302,1.9688,53900
1959,1763,2.1357,53500
2185,1910,2.1136,57300
2783,2566,1.9907,51200
1401,1344,2.0921,61400
6145,5666,1.9066,54600
3815,3450,2.0174,63700
2888,2949,1.7716,45500
1016,540,2.2885,75000
1860,1123,3.4926,94200
1912,1002,3.0375,126300
1688,879,3.3214,103100
831,443,3.1406,100000
1549,819,2.7159,101400
1414,779,2.9167,83900
8363,7679,2.0285,106300
3252,1971,3.0667,75800
3400,1867,3.9926,92500
1287,737,3.1667,126400
3677,2191,2.6218,69100
4984,2414,2.2937,72300
2202,1052,2.1038,62000
1846,1255,2.1681,66600
1717,903,4.3438,93100
1265,764,4.2917,104200
942,424,2.0673,87500
1006,515,3.2386,112500
1871,1066,4.5714,100800
479,327,5.1728,107500
544,442,3.1071,56100
1287,580,3.2019,112500
1185,676,2.2721,52600
1178,586,2.6477,43500
2440,1579,2.8281,60200
956,693,2.2895,62000
1090,470,4.9432,118800
3725,1478,3.5486,148000
1745,837,4.3911,107900
3148,1378,2.8788,85500
1724,947,3.1094,91900
2360,1055,5.2134,97400
3182,1525,3.8108,90400
1684,920,4.2396,90600
3674,1864,2.6145,80300
1765,746,2.8125,70200
1463,699,3.5536,71400
2928,1633,1.8385,67500
1492,926,3.0139,61500
1518,749,2.2333,61000
1338,859,2.6397,59700
1730,752,1.8529,67200
1869,832,3.0846,76100
2958,1504,1.8606,56700
3095,1852,1.4524,51700
1257,624,2.3523,59100
1059,693,1.3882,53800
592,268,1.7596,120800
1241,850,2.9375,81700
2048,1052,4.0909,92800
1623,988,1.4194,58100
2652,1532,2.3256,56800
1325,873,2.5833,54400
2739,1859,2.9936,60600
1147,717,3.3681,70500
1294,713,1.5433,50400
2205,1772,1.3569,43100
941,588,2.3466,53400
1513,1071,1.5909,50100
1847,1460,1.8839,46300
2673,1394,2.625,97400
2011,970,2.395,94100
207,171,2.4286,100000
752,524,2.25,50000
2015,992,2.3889,53200
1382,1469,1.3967,46500
424,284,1.5313,43800
1093,893,2.13,50800
1648,792,3.2847,64700
1267,1077,1.85,52300
766,639,1.6607,42100
2004,1397,2.2169,61600
1461,1201,1.5727,54800
1729,737,3.5313,68800
1676,707,2.0595,60700
1548,1137,2.4688,61300
187,106,1.875,137500
1293,694,2.0221,52200
333,198,0.4999,100000
1047,1505,2.0976,47700
156,171,3.05,225000
2533,1371,2.9708,60900
1165,1119,2.2167,48500
1726,1371,2.0335,43900
2049,1387,2.25,56200
48,13,2.375,71300
259,131,3.125,62500
411,26,0.4999,73500
1295,534,3.9519,98900
89,86,2.0208,72500
202,142,4.35,68300
1314,649,2.575,73600
1125,521,2.2188,106300
1098,353,3.8333,92600
380,225,3.25,137500
1588,585,2.2551,71100
2483,835,1.9141,143200
341,146,4,166300
681,272,2.8906,140600
1582,851,3.45,164100
2202,1000,2.4423,102300
1236,601,1.939,100300
1548,605,3.5652,119000
1128,621,3.2216,93500
3131,1591,2.5457,80700
789,295,3.7667,95000
2374,723,1.3532,95800
532,214,3.3929,108300
1927,810,1.6369,86500
3127,1015,2.0417,78800
2191,679,1.4679,94700
1798,685,1.625,66800
1880,798,1.4676,65000
952,321,1.5208,89000
1601,661,2.6181,108900
1264,370,1.3,69700
254,66,2.7639,112500
1618,425,1.9833,111500
2199,744,2.1094,72400
1446,594,1.165,53300
3715,943,1.7446,109400
793,186,2.3125,162500
1177,181,2.3558,134700
4279,1596,1.8571,75900
975,337,1.6607,77800
2300,526,2.1838,109700
1856,703,1.1912,60000
1708,633,1.75,64000
2230,832,1.6865,58800
1731,638,2.3179,57500
231,108,4.3897,71300
1657,572,1.4767,62000
1914,828,2.0577,69000
2507,1072,2.3083,60200
2143,898,1.6769,63200
883,326,1.7273,58200
1503,522,1.2029,68900
686,246,1.7083,77300
661,192,1.7566,49000
3844,1832,1.125,81800
524,215,1.5455,55000
2554,723,3.2375,114200
4162,889,3.4187,200500
642,265,1.8833,96900
5175,2144,3.0466,97300
1245,517,3.125,93400
41,94,1.375,55000
1592,647,2.5326,136800
1580,753,1.8704,88500
289,191,1.6833,113900
1383,719,1.6164,77800
939,556,1.7196,75000
2067,904,2.9934,134200
1214,504,2.7188,105700
1318,567,1.8692,93800
712,293,4.0119,119400
640,268,3.4514,100000
2781,890,1.9906,96600
4515,1554,3.3531,90800
304,161,2.1964,112500
1410,599,2.1953,75000
292,92,2.9583,91700
520,249,1.8417,84700
70,20,4.125,112500
1177,519,1.5739,73500
2394,877,2.5625,109200
2589,1050,4.0435,132600
3639,1027,3.8831,132100
764,366,3.375,103100
852,461,3.4375,83300
994,302,2.3125,67900
1425,727,2.1474,85300
531,231,2.625,89600
102,43,0.536,87500
1707,761,2.7188,48100
779,364,2.5,59200
976,511,3.6641,80800
777,318,1.6833,40000
240,63,3.625,200000
2635,280,1.7214,118300
890,406,3.3036,78300
683,302,2.5,64100
5486,1977,2.1833,49500
5343,2503,3.5962,85900
2045,1121,2.6902,71500
1450,717,2.5074,66400
3240,1467,2.1875,64300
2081,1051,2.2992,70200
1741,987,1.5066,59300
4462,2229,3.5536,105700
3412,1873,2.2661,61800
1652,762,2.4757,85600
689,355,1.7333,70000
36,4198,5.5179,67500
3391,1529,3.4028,91000
1821,969,3.4643,85100
789,406,2.1198,73500
2399,1037,2.6765,47600
2335,1028,1.7267,60700
5205,2363,6.1946,276100
1079,486,4.9833,213000
3177,1845,4.008,191100
2824,1619,3.5568,184500
2186,1145,4.81,191900
2045,1166,3.5214,197600
2559,1886,2.6036,162100
1988,1399,2.4727,175000
5568,3565,3.0795,161500
2489,1215,5.0234,257600
2091,879,4.4485,261900
2180,1050,6.3688,277600
779,371,4.6635,230100
699,358,4.4375,195800
2542,1278,4.45,263600
3390,1543,5.6184,316900
1300,688,3.1523,176700
6434,3540,4.2639,293300
9259,3963,5.997,228700
1260,638,4.1302,258300
1470,1047,3.275,181400
1073,804,3.75,172600
3258,1810,5.1145,219900
1446,759,6.0808,215600
1510,809,3.599,176500
1065,605,4.1964,185900
2264,1124,4.2685,189600
1297,733,3.0583,160300
1797,948,4.1339,187300
3690,1804,4.4875,222700
3214,1700,4.6944,248200
3034,1776,3.1349,230200
604,314,6.2037,205400
1776,702,5.2661,314900
2795,1267,6.1464,354400
3677,1598,6.838,378000
1643,1142,3.1607,200600
1442,859,4.5833,197300
1444,624,5.76,239400
1882,1005,3.8,217100
5106,2310,4.4375,191500
4694,3566,4.4818,166200
4428,3152,4.7932,166300
6573,6161,3.3304,154900
3248,2608,2.8214,158300
1008,1162,3.35,147600
1591,1818,4.2969,145800
1271,1338,4.125,150000
2574,2609,3.7566,146700
3517,3134,2.6652,164800
822,1197,3.2865,133300
1999,2391,2.8,144300
1209,1097,1.6295,134300
937,1216,3.3214,131300
674,808,2.6667,147800
1384,2054,3.0132,142600
1130,1533,4.2353,156800
1002,1312,3.024,148000
1024,1371,3.225,147500
1246,1990,3.5104,140900
1269,1835,3.2583,147200
777,1022,3.4,139600
729,935,2.9519,140900
1545,1909,3.6791,148100
1447,1630,2.9205,143100
1788,2582,2.1062,136400
870,1065,2.5313,136100
973,1086,3.4519,143300
1789,2279,3.9,138600
858,1250,2.9219,137900
2700,3444,1.4867,124000
4379,2560,4.2538,154300
1872,1927,2.2019,134200
280,483,1.95,137500
827,981,2.6429,143100
1146,1173,3.6016,153800
3447,3663,3.2284,157100
2049,2243,2.525,163700
1430,1502,3.6292,145200
2657,1948,4.233,157400
5891,2882,5.901,235600
6235,3568,4.1724,211600
6755,4205,3.9583,163200
3334,2919,3.6548,180300
6572,3473,5.2987,203400
3187,2205,5.1668,187400
3027,1970,4.3409,156000
4151,3163,4.0301,154300
3182,2661,2.7472,160100
1595,1181,3.4,155500
1739,820,4.0556,182500
3481,1952,4.26,189400
5777,2917,4.1514,194100
1532,977,4.4773,173100
2424,2291,4.0337,158500
2920,1460,4.2708,218200
2664,1468,4.8988,325200
2384,1697,6.0891,270100
1091,892,3,172400
2495,2314,3.6736,192200
3668,3151,3.0526,183300
4256,3401,4.2935,190000
4516,1714,9.2873,431800
2535,1071,6.8695,319400
3508,1957,6.6458,285500
1024,357,7.0598,356300
7498,3189,8.1248,374000
6145,2710,7.5078,344000
4239,1890,6.3911,301700
1287,525,6.4171,319300
2272,868,7.7464,474600
4542,2144,8.8467,450700
2676,2661,4.3047,152100
4085,3988,3.4812,160200
5481,2477,6.7248,377200
8879,3468,8.1125,428600
7665,3517,10.8805,500001
4423,1995,8.2159,376200
6995,2907,7.0808,341200
1527,1303,3.5714,152000
1663,1242,5.5931,217600
1549,881,5.1408,222900
2132,1128,5.3107,227100
1511,873,5.5608,226700
1444,523,2.7353,192400
1150,741,5.741,220600
1231,702,4.9323,223700
2649,1303,4.9955,216800
1194,839,3.705,185800
1579,1012,5.1296,195900
1576,1004,4.8015,179700
1865,1182,2.6193,172300
1111,1333,3.5347,158100
1701,1616,3.3603,142400
1724,992,4.8359,195600
1453,808,4.3839,204600
1637,894,4.175,209600
1358,738,5.0947,210300
1394,761,4.9485,217100
2202,1135,4.2143,224200
2217,1064,3.6989,208600
1300,650,3.8875,199200
1898,1123,5.5792,218400
1770,938,5.749,238000
2722,1164,4.6591,239900
1732,1120,4.1492,195700
1951,1040,5.1619,195300
1442,795,4.9688,216900
1865,1074,5.1068,223300
2088,960,4.3333,232900
4877,2521,5.5714,225900
3047,1578,4.58,236200
2235,1148,4.869,221600
3580,1694,5.4065,243800
1975,801,7.8193,379600
3787,1966,4.055,222500
2276,1001,4.1042,252100
3204,1499,5.5649,271200
1931,948,5.3847,329200
3674,1590,8.176,308400
5303,2372,5.6912,311800
2309,931,6.7415,348200
1927,896,5.634,320500
4960,1929,10.9052,500001
4018,1508,8.203,445400
4919,2183,8.1356,352800
2831,1340,4.8316,237300
8850,4717,3.7816,254200
2472,1109,5.5433,332500
7849,3561,4.6625,290900
8389,4483,3.5497,261300
4054,2164,5,258000
7384,2795,9.6047,500001
8146,3562,7.167,357100
5406,2337,6.0137,375900
4759,1884,4.8333,277200
10860,4178,6.3249,262100
6154,3010,5.6392,271500
8295,3903,5.5111,276600
1376,670,6.5146,277600
2762,1166,6.8643,333700
897,263,6.1288,350000
3727,1724,6.1419,327300
5256,2474,7.3252,333700
8866,5005,3.2564,230300
6592,4459,3.0347,254500
1962,697,8.565,500001
2980,1208,8.1714,500001
5098,2239,5.6149,273100
3239,1529,3.2426,236900
9716,4992,3.6231,193300
4679,1945,8.7471,419900
4883,2119,5.521,280800
3215,1710,5.5126,248400
2406,1242,4.6944,221800
3275,1746,4.9676,221900
3907,2037,4.1023,230200
4407,2676,3.4091,168800
1917,1019,4.8929,234900
1969,950,4.875,230400
6015,3056,4.0077,229000
4338,1514,8.8612,500001
5297,1986,8.6454,483500
3324,1190,7.2772,477200
3218,2295,3.0926,418500
1471,735,8.3841,472200
6331,2957,3.3892,323100
4631,2360,3.0977,264000
2718,3018,2.9076,275300
3422,1690,4.375,232900
2131,1065,3.2404,230400
2639,1191,6.2788,322200
5751,2230,4.3458,407500
4409,4579,2.8727,245100
4580,2252,4.7926,454400
4617,2891,3.2289,318100
4039,2675,3.0321,240000
2193,1299,3.6187,211600
1753,1318,4.125,241400
2094,1207,5.2801,212300
5363,2783,3.8583,170700
2692,1330,4.5417,238900
2405,1855,2.3111,255400
2621,1285,6.6537,267600
2871,1335,5.0232,253900
2707,1224,5.2939,244200
1971,917,6.0965,262300
2333,969,4.8164,241100
2411,1040,6.155,257300
2634,1114,5.9401,315300
3082,1590,4.5167,319000
4373,2040,5.2668,242300
1756,899,5.0325,238200
8350,9135,2.5008,160000
1963,919,4.7583,258600
1762,761,6.5268,273100
3354,1752,4.5484,239900
4609,5349,2.7121,169400
6338,4718,3.0187,154600
921,1023,3.4514,151900
1181,775,4.7228,183800
1488,1221,4.0208,171400
1507,1025,4.5833,177200
1026,753,4.5909,179200
490,402,3.125,175900
1102,949,4.0792,165100
1077,1377,3.9167,153900
2433,2318,3.6384,159300
325,433,5.5124,174300
1583,1481,3.7,176000
2143,1803,3.9833,162500
9053,7096,3.5082,136500
5738,4620,2.3584,157600
3299,2343,3.0865,205900
1121,1038,4.8958,173700
1416,995,3.7143,178700
1488,1112,4.4688,182500
1660,1225,4.095,184000
2344,1531,3.725,178200
2478,1567,5.6629,186700
1807,1234,5.3767,233000
2049,1286,4.4432,181500
1379,896,4.6827,183800
1550,1011,4.5375,189000
1225,720,3.4013,176500
1737,1061,3.9615,173700
1279,987,4.0057,172700
1730,1099,4.0368,183100
1588,1080,3.66,184600
1030,664,3.8083,183800
1529,913,3.325,178200
2257,1418,4.5278,181800
2288,2222,2.6299,170700
1500,998,3.9625,168200
2057,2397,2.871,184400
3442,4625,2.0699,183000
4393,3781,2.5833,183700
2609,1803,2.7714,185700
9902,7307,2.585,145400
1191,718,3.4612,178800
1665,1011,4.8703,185100
1440,1014,2.875,168600
1582,1159,2.825,168600
2300,1447,4.2656,233700
3667,2636,2.425,175500
1372,774,3.6618,187300
1220,729,3.6442,186300
2453,1753,2.9803,191500
2215,1594,4.0167,193200
972,554,4.8194,181300
2557,1556,3.6591,183800
1404,889,4.0049,190000
983,513,4.8816,231500
1283,594,4.1121,229200
1444,1177,3.6,164600
1787,1671,3.5521,151500
125,63,1.3594,158300
2552,1850,4.775,179500
3405,3001,3.0083,181900
1193,1184,2.1518,161600
1643,1414,4.1181,172700
2830,1577,5.35,210500
1789,897,5.592,239900
712,533,3.695,165200
1790,1277,5.0818,186800
1869,1516,3.6845,178500
2807,2729,2.6667,172400
1176,864,2.375,177700
1468,1295,3.7708,170600
1981,1665,3.0833,179100
3004,1938,4.1857,198600
2893,1636,5.1586,237400
161,66,1,187500
1531,1064,5.6687,207300
1392,1181,3.1563,176400
2080,1939,4.2875,176600
2272,2164,3.7143,175700
2127,1989,2.9028,174100
362,348,2.2679,150000
2485,1994,2.8333,183200
1512,1545,3.7663,160300
1560,1668,3.025,154300
337,198,1.8929,152900
715,730,3.8,169500
4138,3911,3.0125,181700
2594,3950,2.0348,177200
2034,1990,3.7455,159600
2199,2488,2.9861,171800
1363,1798,2.3182,171200
1438,1378,2.8917,170400
2921,1512,4.1445,176400
1471,995,2.9583,188700
2233,1934,2.8784,194900
1829,1345,3.1629,198900
2890,2203,2.6696,185100
2000,1439,3.0491,192000
1875,2555,2.0968,162500
2012,3483,2.2234,181300
2924,2751,2.1,171600
1434,1667,2.4375,176300
993,1044,2.4306,187500
4859,3351,3.6875,211900
934,587,3.625,181300
2392,1987,2.8424,226400
2180,1483,3.0395,191300
1169,612,4.1429,200000
2734,2209,3.5164,217200
3148,2850,1.9549,221500
779,450,3.9792,193800
2622,1997,3.338,222500
3201,3403,2.2377,231700
3386,2240,3.0221,290100
3353,2318,2.2589,269700
3285,2281,2.6165,230800
3760,2022,3.1551,225600
2887,1626,3.6745,335500
1323,856,3.3594,202200
2717,1546,3.9099,267500
2417,1102,3.8906,282200
1013,449,5.7143,382400
1106,595,3.6625,190700
1840,966,4.7171,237900
2008,1052,3.0119,262200
1993,939,2.8021,224600
521,306,4.1125,216700
1631,862,3.6007,261800
3724,1912,3.5711,312700
3588,1891,3.4013,286000
3794,2454,2.9982,204200
1957,985,2.9327,240200
3345,1599,3.3516,241500
477,220,3.3906,223800
904,627,2.4167,192900
1176,471,2.3333,364700
1354,501,3.8056,384700
2638,1150,4.2989,364700
3060,1159,6.3703,465800
2027,879,4.692,330900
1308,950,2.7379,181500
2079,1396,3.0061,190800
4834,3847,2.1449,165300
1983,2251,2.4792,200000
1588,739,2.8208,238500
1696,835,3.6563,222400
1608,1217,2.9728,190200
1140,643,3.3958,178400
901,473,3.3125,186400
977,736,1.9866,177400
2949,2106,2.9228,177300
3553,3129,2.5603,174200
1109,1119,2.3056,200000
1939,1584,2.5234,199500
1713,1349,3.2596,191800
2785,1631,3.9038,276100
3277,1382,3.875,366100
1975,882,4.375,291700
3202,1573,3.4449,292900
2922,1130,5.451,341800
1982,794,5.9275,336900
2459,1139,4.0347,353600
2050,850,3.4208,343400
1134,452,4.569,333900
2795,1073,5.1496,365000
2235,914,6.1359,359700
4664,1963,3.9028,367900
577,372,4.1875,275000
2769,1201,3.6641,386100
4443,2421,2.2652,269200
6347,2945,3.3545,221500
2790,1351,3.2052,283600
6429,2806,3.1929,265200
1582,603,5.1169,414300
1388,547,5.1584,444700
2016,1359,2.7708,192300
2609,1055,3.3177,309400
2197,944,3.7312,319400
2295,1543,2.3851,194100
3327,2683,2.3784,185400
600,377,2.4107,184400
1431,1438,2.2756,221400
854,542,0.8198,325000
6526,3298,2.7231,250000
2606,1373,3.6128,225000
2450,1054,3.6375,262500
1973,774,4.4122,282300
2850,1510,2.4835,274300
2455,989,4.0764,325000
4150,1808,3.5051,232400
2901,1659,3.1106,209400
1755,822,5.1423,322900
2304,862,4.3542,417900
2245,783,4.1544,500001
4090,2824,2.773,140500
2867,1955,4.125,226500
1732,1198,2.9219,241300
5756,4031,3.2448,221200
2331,2172,2.1888,195600
3666,2657,2.9688,202100
2926,1867,3.5255,202700
2081,1456,3.5,186900
2512,1805,2.9735,220000
3939,2475,2.9025,229100
2879,2077,3.3864,197400
2027,1545,2.8974,189900
3430,3618,2.1974,93800
1131,746,1.3565,225000
2087,1809,3.1667,202000
1109,515,5.2118,215800
1617,938,3.915,217700
3831,2258,2.4375,255400
2850,2249,2.6957,191700
5699,3809,2.8646,221100
2058,1132,3.8833,210400
4590,2723,2.7118,281700
3879,2113,3.892,292900
1572,1039,2.5562,190500
2729,2099,2.5842,230800
4855,2519,3.0893,205600
1073,739,2.4667,192200
5992,4826,2.7237,233500
1491,779,6.1142,256300
3051,1942,3.1118,238100
2698,1544,2.7375,234900
1717,1628,2.5197,225600
2934,2517,2.936,232500
3440,1827,4.125,245500
1516,983,5,243600
3487,2278,2.6709,215500
1599,1143,2.4583,199100
2052,1254,2.6364,271100
2077,1206,2.2326,221000
2891,2166,2.891,178100
1546,2423,2.1977,154200
2479,2466,2.2264,181300
2516,3350,2.0192,158300
2582,2038,3.0877,174200
1104,495,5.0929,225000
1810,839,3.7171,228800
1843,861,3.6875,246400
1791,844,4.5081,251400
1819,1336,3.4583,253200
972,550,2.2461,215000
4966,1941,3.8081,286700
2077,1021,3.6019,225000
3830,2328,2.6238,210000
2127,1056,4.375,286100
1679,933,2.6979,266000
2180,906,4.4464,353100
777,284,11.2093,500001
2685,1085,3.2763,279400
2622,1233,4.0474,379700
3080,1362,4.1218,328500
1616,580,4.0391,337500
4982,2237,3.7105,272600
2152,996,3.2386,277300
3100,1388,4.3333,261300
2814,1463,4.1875,309300
6707,2620,3.1478,273700
2544,1035,4.475,314800
2795,1173,4.4423,280400
2548,1098,4.3839,299100
6064,4876,2.875,227100
2593,1596,3.9886,199200
1664,1000,4.6731,224100
1600,1012,4.1597,201600
2205,1242,4.1319,203700
2794,1334,4.3462,222100
1254,629,4.9643,236100
1656,817,5.5675,215900
1952,1156,4.185,209200
2396,1064,4.7,223600
1493,766,4.8646,213200
1275,959,5.0282,195400
1620,1052,5.5209,203300
2394,1490,4.3261,206700
1663,762,5.1265,211000
4101,2630,4.6607,199800
3124,1855,2.9389,213200
2592,1427,5.0623,246400
1843,1041,4.4271,205100
1286,788,3.5333,196800
1599,819,4.3194,197000
3910,2097,3.8247,208700
8327,4126,3.7313,189800
2891,1757,4.3571,199800
3270,2118,3.225,205300
1668,807,4.5125,200300
1614,850,4.1806,209000
2066,1031,4.0924,188400
1328,823,4.5648,193700
1558,884,2.2304,203800
2327,1166,4.2344,262500
2871,1350,3.7049,227500
2537,1161,5.3028,229200
2182,1141,4.2865,221100
4249,2047,4.1304,229100
2720,1158,5.0796,228300
2156,1142,4,224700
4315,2490,2.6437,195000
1795,1082,4.9102,207200
2221,1998,2.8701,191100
2549,1624,3.6905,179800
5862,3161,3.1106,170600
1963,1494,3.5313,211800
881,464,2.9511,203900
1560,763,3.8516,206900
1892,1039,4.8295,212100
2618,1961,2.625,192300
2307,1168,4.2143,245400
4175,2118,4.2083,240300
1544,891,4.175,190900
2273,1431,4.0789,196700
782,425,5.4548,201400
1237,671,3.9615,183600
2579,1237,4.433,235100
1366,719,4.8264,251000
3380,2199,2.5739,239200
1938,1280,3.9632,240300
978,475,4.675,222500
1856,990,4.3654,223800
2642,1649,3.0187,217700
2335,1986,2.9974,178800
847,733,5.2149,201900
1389,826,5.015,220900
2795,1702,3.7798,258400
4891,2447,5.8798,270500
3262,1879,4.1359,255200
6227,3739,4.0313,299300
2560,1428,5.6345,228200
2209,1034,4.7125,250900
1943,895,5.0462,227700
2389,1560,4.8333,225400
9512,7282,2.8039,227500
3494,1861,5.6407,251500
1636,866,5.6356,241300
3234,1597,6.1074,258600
2633,1313,4.0909,232900
1058,778,3.3534,180500
1718,896,3.6296,160900
2609,1208,5.4527,227100
3098,1486,5.7613,235800
3952,1762,5.5709,244800
4312,1902,8.4438,390000
5429,2315,9.6465,500001
7480,3037,6.9223,338400
3233,1678,5.0025,234900
7411,2814,6.7785,336100
2737,2924,2.5797,183500
1789,2300,2.754,179800
2869,2162,3.2297,150000
2581,2004,2.6159,182300
1770,1083,5.0483,221000
878,499,4.1181,190400
7157,4642,3.1818,208000
2979,1824,3.5,223700
2600,1246,4.1111,215600
2559,1358,4.5568,201500
1759,943,5.223,209200
1558,793,5.1463,220200
1323,756,4.233,221300
2185,986,4.8125,266700
2329,966,3.8839,224900
4286,2863,3.3125,222800
3061,2173,2.85,187500
908,368,5.6159,340500
2421,1120,5.0309,244800
3124,1241,6.4044,333100
1934,905,5.5101,267400
1673,794,5.5191,245800
3824,1790,4.1154,246400
703,369,4.3125,210100
14912,5105,2.8312,213900
3568,1741,5.1529,259600
1646,697,6.6689,433000
2399,1062,6.0094,245600
3017,1423,5.6163,248400
3808,1784,5.1641,263400
3274,1424,4.4167,247300
1793,1016,4.925,240300
2772,1346,5.2016,243000
7544,3221,7.642,374900
4769,2019,5.5798,338200
6767,2574,7.7846,409000
2981,1243,6.5304,439800
2072,908,6.0928,327300
3393,1471,6.2064,334900
11853,4404,4.2009,271300
5944,2372,3.8819,328900
1491,756,3.0404,262800
3268,1463,6.8482,308300
5252,2041,6.7977,389700
4607,1769,7.4918,367600
6612,2519,8.3912,419000
1689,705,4,278500
4491,1696,4.9102,319100
4364,1550,6.8107,367400
2896,1116,6.0192,347700
3346,1296,7.457,392700
5661,2493,7.9814,409900
1950,870,3.1875,500001
6476,2413,5.6327,500001
1887,761,5.4847,296000
3441,1283,4.1656,313100
3999,1628,6.0794,338500
5791,2059,10.9201,500001
3856,1422,8.4196,450700
2023,747,6.7694,369700
4570,1693,6.14,361900
1303,450,10.5511,483100
3073,1486,4.8984,311700
1893,911,4.8036,295300
3252,1411,3.1885,219000
1700,930,3.675,213100
2082,1047,3.6534,216000
1611,879,3.1923,221800
6430,2897,3.855,243800
1080,386,6.1274,315900
3011,1287,5.0605,311000
1819,770,5.4088,457300
7214,4100,3.0943,174500
7194,3687,3.1887,189300
2458,1034,5.6738,443600
3352,1815,2.8528,425000
2127,761,7.8392,500001
2987,1244,7.1322,500001
17377,7450,3.2154,259600
2693,1219,5.17,335400
3554,1623,3.6141,290600
11154,4076,5.4609,500001
2108,769,8.7172,500001
3333,1171,6.4958,500001
3547,1187,7.139,424000
3104,1111,13.4196,500001
880,369,4.1429,303600
2829,1010,10.3587,500001
3539,1190,10.6796,500001
4394,1443,11.2979,500001
6748,2431,12.8879,500001
6920,2515,9.2189,500001
10111,3599,10.2292,500001
9657,3585,10.4399,500001
6270,2549,3.2241,295800
1293,459,7.672,467600
2900,1090,3.7125,447400
1856,795,2.8448,360600
5474,2352,3.415,382500
1778,641,10.0549,500001
4420,1669,4.6375,359100
1335,539,3.2813,301700
1387,713,2.9352,304500
7828,3303,3.6171,318300
1091,517,4.1727,332600
3876,1334,4.5656,478400
1495,598,3.4698,265400
4590,2195,3.8273,334900
6306,2381,4.642,457300
3823,1449,4.6,392500
804,267,8.2269,500001
2536,990,5.4591,495500
3507,1427,6.7082,500001
9320,2980,10.3599,500001
5264,1738,8.8115,500001
2873,850,8.153,500001
3646,1390,7.629,500001
1693,498,10.9237,500001
4400,1521,8.2954,500001
1741,588,7.9625,490800
1680,493,9.042,500001
3545,1221,4.3,500001
3659,1338,3.6202,366100
4604,2391,3.1373,263100
2630,1071,3.3669,376100
2358,1065,3.1289,320600
2933,1115,4.3036,365900
3110,1212,4.2031,394400
917,379,3.4612,425000
4084,1637,3.2388,256300
3881,1535,3.0398,369100
4032,1695,4.3468,425900
680,268,4.615,371400
1880,681,4.3214,372300
1861,736,5.2853,355900
277,119,4.0208,341700
54,20,0.536,375000
2394,837,4.3889,380400
2515,967,5.0754,374500
3891,1568,4.1656,364700
1628,500,6.083,424000
1376,629,3.6823,295200
4382,2138,3.5714,197900
4670,1914,3.7986,367700
1253,492,7.7112,386700
5076,2021,5.5683,309200
2696,905,3.1146,373500
1610,511,4.3333,385900
3257,1237,4.2415,409600
6871,2216,8.0499,495600
1883,774,3.5096,396400
4287,1498,8.5677,500001
4624,1572,6.5533,500001
1965,666,6.0876,483800
8262,2712,10.5575,500001
1695,595,6.0678,399300
417,187,5.1377,360700
778,258,5.738,497600
3990,1417,4.0439,500001
3830,1292,12.7823,500001
2298,1203,5.5291,274600
1388,735,3.7404,247700
3800,1842,5.5524,293900
2387,1181,3.6058,257900
1826,793,5.2962,291500
277,182,2.3958,175000
3657,1725,5.5456,258100
2983,1614,5.7794,272400
2090,1219,4.0909,204200
1681,1105,3.2222,186500
1908,1412,2.2267,189800
1941,1012,3.9375,217000
2525,1514,4.3359,209200
